name;c;dist;RNA;v5end;addProb;vInt;preTermProb;preTermDist
discrete_0.1;0;0;0;0;0.1;50;0;0
discrete_0.2;0;0;0;0;0.2;50;0;0
discrete_0.3;0;0;0;0;0.3;50;0;0
discrete_0.4;0;0;0;0;0.4;50;0;0
discrete_0.5;0;0;0;0;0.5;50;0;0
discrete_0.6;0;0;0;0;0.6;50;0;0
discrete_0.7;0;0;0;0;0.7;50;0;0
discrete_0.8;0;0;0;0;0.8;50;0;0
discrete_0.9;0;0;0;0;0.9;50;0;0
discrete_1.0;0;0;0;0;1;50;0;0
discrete_0.8_term_0;0;0;0;0;0.8;50;0;6750
discrete_0.8_term_0.0001;0;0;0;0;0.8;50;0.0001;6750
discrete_0.8_term_0.001;0;0;0;0;0.8;50;0.001;6750
discrete_0.8_term_0.01;0;0;0;0;0.8;50;0.01;6750
discrete_0.8_term_0.02;0;0;0;0;0.8;50;0.02;6750
discrete_0.8_term_0.03;0;0;0;0;0.8;50;0.03;6750
discrete_0.8_term_0.04;0;0;0;0;0.8;50;0.04;6750
discrete_0.8_term_0.05;0;0;0;0;0.8;50;0.05;6750
discrete_0.8_term_0.06;0;0;0;0;0.8;50;0.06;6750
discrete_0.8_term_0.07;0;0;0;0;0.8;50;0.07;6750
discrete_0.8_term_0.08;0;0;0;0;0.8;50;0.08;6750
discrete_0.8_term_0.09;0;0;0;0;0.8;50;0.09;6750
discrete_0.8_term_0.1;0;0;0;0;0.8;50;0.1;6750
discrete_0.8_term_0.2;0;0;0;0;0.8;50;0.2;6750
discrete_0.8_term_0.3;0;0;0;0;0.8;50;0.3;6750
discrete_0.8_term_0.4;0;0;0;0;0.8;50;0.4;6750
discrete_0.8_term_0.5;0;0;0;0;0.8;50;0.5;6750
discrete_0.8_term_0.6;0;0;0;0;0.8;50;0.6;6750
discrete_0.8_term_0.7;0;0;0;0;0.8;50;0.7;6750
discrete_0.8_term_0.8;0;0;0;0;0.8;50;0.8;6750
discrete_0.8_term_0.9;0;0;0;0;0.8;50;0.9;6750
discrete_0.8_term_1;0;0;0;0;0.8;50;1;6750
discrete_0.5_term_0;0;0;0;0;0.5;50;0;6750
discrete_0.5_term_0.0001;0;0;0;0;0.5;50;0.0001;6750
discrete_0.5_term_0.001;0;0;0;0;0.5;50;0.001;6750
discrete_0.5_term_0.01;0;0;0;0;0.5;50;0.01;6750
discrete_0.5_term_0.02;0;0;0;0;0.5;50;0.02;6750
discrete_0.5_term_0.03;0;0;0;0;0.5;50;0.03;6750
discrete_0.5_term_0.04;0;0;0;0;0.5;50;0.04;6750
discrete_0.5_term_0.05;0;0;0;0;0.5;50;0.05;6750
discrete_0.5_term_0.06;0;0;0;0;0.5;50;0.06;6750
discrete_0.5_term_0.07;0;0;0;0;0.5;50;0.07;6750
discrete_0.5_term_0.08;0;0;0;0;0.5;50;0.08;6750
discrete_0.5_term_0.09;0;0;0;0;0.5;50;0.09;6750
discrete_0.5_term_0.1;0;0;0;0;0.5;50;0.1;6750
discrete_0.5_term_0.2;0;0;0;0;0.5;50;0.2;6750
discrete_0.5_term_0.3;0;0;0;0;0.5;50;0.3;6750
discrete_0.5_term_0.4;0;0;0;0;0.5;50;0.4;6750
discrete_0.5_term_0.5;0;0;0;0;0.5;50;0.5;6750
discrete_0.5_term_0.6;0;0;0;0;0.5;50;0.6;6750
discrete_0.5_term_0.7;0;0;0;0;0.5;50;0.7;6750
discrete_0.5_term_0.5;0;0;0;0;0.5;50;0.8;6750
discrete_0.5_term_0.9;0;0;0;0;0.5;50;0.9;6750
discrete_0.5_term_1;0;0;0;0;0.5;50;1;6750
discretepreElong_0.8_term_0;0;0;0;0;0.8;50;0;2000
discretepreElong_0.8_term_0.0001;0;0;0;0;0.8;50;0.0001;2000
discretepreElong_0.8_term_0.001;0;0;0;0;0.8;50;0.001;2000
discretepreElong_0.8_term_0.01;0;0;0;0;0.8;50;0.01;2000
discretepreElong_0.8_term_0.02;0;0;0;0;0.8;50;0.02;2000
discretepreElong_0.8_term_0.03;0;0;0;0;0.8;50;0.03;2000
discretepreElong_0.8_term_0.04;0;0;0;0;0.8;50;0.04;2000
discretepreElong_0.8_term_0.05;0;0;0;0;0.8;50;0.05;2000
discretepreElong_0.8_term_0.06;0;0;0;0;0.8;50;0.06;2000
discretepreElong_0.8_term_0.07;0;0;0;0;0.8;50;0.07;2000
discretepreElong_0.8_term_0.08;0;0;0;0;0.8;50;0.08;2000
discretepreElong_0.8_term_0.09;0;0;0;0;0.8;50;0.09;2000
discretepreElong_0.8_term_0.1;0;0;0;0;0.8;50;0.1;2000
discretepreElong_0.8_term_0.2;0;0;0;0;0.8;50;0.2;2000
discretepreElong_0.8_term_0.3;0;0;0;0;0.8;50;0.3;2000
discretepreElong_0.8_term_0.4;0;0;0;0;0.8;50;0.4;2000
discretepreElong_0.8_term_0.5;0;0;0;0;0.8;50;0.5;2000
discretepreElong_0.8_term_0.6;0;0;0;0;0.8;50;0.6;2000
discretepreElong_0.8_term_0.7;0;0;0;0;0.8;50;0.7;2000
discretepreElong_0.8_term_0.8;0;0;0;0;0.8;50;0.8;2000
discretepreElong_0.8_term_0.9;0;0;0;0;0.8;50;0.9;2000
